4,Rename property,Error : setTotalExecutionTimeInSeconds Line : 194,The attribute totalExecutionTimeInSeconds is renamed to discoveryTimeInSeconds the method setTotalExecutionTimeInSeconds is generated and must be updated Coevolve this code : discovery.setTotalExecutionTimeInSeconds(new Double(getValue(lastLine2Statistics.SINCEBEGIN)) / Report.MINUTE_MS_RANGE),discovery.setDiscoveryTimeInSeconds(new Double(getValue(lastLine2Statistics.SINCEBEGIN)) / Report.MINUTE_MS_RANGE)
114,Delete Class ,Error : MultiProjectBenchmark Line : 112,The metaclass MultiProjectBenchmark is deleted The class MultiProjectBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : MultiProjectBenchmark benchmark=BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()  If there is any instruction to delete please comment it with significant message,// Create a new instance of MultiProjectBenchmarkMultiProjectBenchmark benchmark = BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()// No instructions to delete in this code snippet
124,Delete Class ,Error : createMultiProjectBenchmark Line : 112,The metaclass MultiProjectBenchmark is deleted   the method createMultiProjectBenchmark is generated and its usage must be deleted Coevolve this code : MultiProjectBenchmark benchmark=BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()  If there is any instruction to delete please comment it with significant message,The metaclass MultiProjectBenchmark is deleted so the method createMultiProjectBenchmark and its usage must be deleted as well.Coevolved code:// MultiProjectBenchmark benchmark = BenchmarkFactory.eINSTANCE.createMultiProjectBenchmark()// Delete the above line as the metaclass MultiProjectBenchmark is deleted
134,Pull class,Error : getDiscoveries Line : 180,The attribute discoveries is pulled from a subclass to the superclass : Benchmark The method getDiscoveries is generated and must be updated Coevolve this code : benchmarkedProject.getDiscoveries().add(discovery),public class Benchmark {    private List<Discovery> discoveries    public Benchmark() {        discoveries = new ArrayList<>()    }    public List<Discovery> getDiscoveries() {        return discoveries    }    public void add(Discovery discovery) {        discoveries.add(discovery)    }}public class BenchmarkedProject extends Benchmark {    // Subclass-specific code}// UsageBenchmarkedProject benchmarkedProject = new BenchmarkedProject()Discovery discovery = new Discovery()benchmarkedProject.add(discovery)
144,Extract property,Error : setMaxUsedMemoryInBytes Line : 187,The attribute maxUsedMemoryInBytes is moved from the class Discovery to the class DiscoveryIteration through the reference iterations Considering that calling setIterations from the class Discovery returns a list of DiscoveryIterationobjects Coevolve this code : discovery.setMaxUsedMemoryInBytes(maxUsedMemory),In order to coevolve the code we need to make the following changes:1. Add the attribute `maxUsedMemoryInBytes` to the class `DiscoveryIteration`:```pythonclass DiscoveryIteration:    def __init__(self):        self.maxUsedMemoryInBytes = 0```2. Modify the `setIterations` method in the `Discovery` class to return a list of `DiscoveryIteration` objects:```pythonclass Discovery:    def setIterations(self):        iterations = []        # Add code to create and populate the iterations list        return iterations```3. Update the `setMaxUsedMemoryInBytes` method in the `Discovery` class to set the `maxUsedMemoryInBytes` attribute of the `DiscoveryIteration` objects:```pythonclass Discovery:    def setMaxUsedMemoryInBytes(self maxUsedMemory):        iterations = self.setIterations()        for iteration in iterations:            iteration.maxUsedMemoryInBytes = maxUsedMemory```Now when calling `discovery.setMaxUsedMemoryInBytes(maxUsedMemory)` the `maxUsedMemoryInBytes` attribute will be set for each `DiscoveryIteration` object in the list returned by `setIterations` method.
154,Delete property,Error : setMetaModelVariant Line : 188,The attribute metaModelVariant is deleted from the class Discovery the method setMetaModelVariant is generated and its usage must be deleted Coevolve this code : discovery.setMaxUsedMemoryInBytes(maxUsedMemory)  discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))  discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))  If there is any instruction to delete please comment it with significant message,discovery.setMaxUsedMemoryInBytes(maxUsedMemory)discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))
164,Delete property,Error : setAlgorithmVariant Line : 190,The attribute algorithmVariant is deleted from the class Discovery the method setAlgorithmVariant is generated and its usage must be deleted Coevolve this code : discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))  discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))  discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2Statistics.SAVE)) / Report.MINUTE_MS_RANGE)  If there is any instruction to delete please comment it with significant message,The code can be coevolved as follows:discovery.setMetaModelVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.MM_VARIANT))discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2Statistics.SAVE)) / Report.MINUTE_MS_RANGE)// The following line should be deleted as the attribute algorithmVariant is no longer present in the class Discovery// discovery.setAlgorithmVariant(properties.getProperty(DiscoverJavaModelFromJavaProjectEMFStat.ALGO_VARIANT))
174,Extract property,Error : setSaveTimeInSeconds Line : 192,The attribute saveTimeInSeconds is moved from the class Discovery to the class DiscoveryIteration through the reference iterations Considering that calling setIterations from the class Discovery returns a list of DiscoveryIterationobjects Coevolve this code : discovery.setSaveTimeInSeconds(new Double(getValue(lastLine2Statistics.SAVE)) / Report.MINUTE_MS_RANGE),public class Discovery {    private List<DiscoveryIteration> iterations        public void setIterations(List<DiscoveryIteration> iterations) {        this.iterations = iterations    }        public void setSaveTimeInSeconds(double saveTimeInSeconds) {        for (DiscoveryIteration iteration : iterations) {            iteration.setSaveTimeInSeconds(saveTimeInSeconds)        }    }}public class DiscoveryIteration {    private double saveTimeInSeconds        public void setSaveTimeInSeconds(double saveTimeInSeconds) {        this.saveTimeInSeconds = saveTimeInSeconds    }        public double getSaveTimeInSeconds() {        return saveTimeInSeconds    }}
184,Delete Class ,Error : MultiProjectBenchmark Line : 23,The metaclass MultiProjectBenchmark is deleted and the class MultiProjectBenchmark is deleted also (assuming that when the metaclass is deleted all the generated elements are deleted )Coevolve this code : import org.eclipse.jdt.core.IJavaProject  import org.eclipse.modisco.infra.discovery.benchmark.MultiProjectBenchmark  import org.eclipse.modisco.java.discoverer.benchmark.cdo.client.BenchmarkJavaDiscovererCDO  If there is any instruction to delete please comment it with significant message,import org.eclipse.jdt.core.IJavaProjectimport org.eclipse.modisco.java.discoverer.benchmark.cdo.client.BenchmarkJavaDiscovererCDO// The metaclass MultiProjectBenchmark is deleted and all the generated elements are deleted as well// import org.eclipse.modisco.infra.discovery.benchmark.MultiProjectBenchmark // Deleted: Metaclass MultiProjectBenchmark is deletedpublic class Main {    public static void main(String[] args) {        // Existing code    }}
194,Delete Class ,Error : MultiProjectBenchmark Line : 38,The metaclass MultiProjectBenchmark is deleted The class MultiProjectBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : @Override public MultiProjectBenchmark createReport(final IJavaProject sourcefinal IProgressMonitor monitor) throws CoreException IOException If there is any instruction to delete please comment it with significant message,@Overridepublic MultiProjectBenchmark createReport(final IJavaProject source final IProgressMonitor monitor) throws CoreException IOException {    // Implementation of the createReport method    // ...}
204,Delete Class ,Error : MultiProjectBenchmark Line : 44,The metaclass MultiProjectBenchmark is deleted The class MultiProjectBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : MultiProjectBenchmark benchmarkModel=report.generate()  If there is any instruction to delete please comment it with significant message,# Coevolved code:benchmarkModel = report.generate()# No instructions to delete.
214,Delete Class ,Error : AveragedMultiDiscoveryBenchmark Line : 46,The metaclass AveragedMultiDiscoveryBenchmark is deleted and the class AveragedMultiDiscoveryBenchmark is deleted also (assuming that when the metaclass is deleted all the generated elements are deleted )Coevolve this code : import org.eclipse.jdt.core.JavaCore  import org.eclipse.modisco.infra.discovery.benchmark.AveragedMultiDiscoveryBenchmark  import org.eclipse.modisco.infra.discovery.benchmark.AveragedProjectDiscovery  If there is any instruction to delete please comment it with significant message,import org.eclipse.jdt.core.JavaCoreimport org.eclipse.modisco.infra.discovery.benchmark.AveragedProjectDiscovery// The metaclass AveragedMultiDiscoveryBenchmark is deleted// The class AveragedMultiDiscoveryBenchmark is deleted// import org.eclipse.modisco.infra.discovery.benchmark.AveragedMultiDiscoveryBenchmark - Deleted// import org.eclipse.modisco.infra.discovery.benchmark.AveragedProjectDiscovery - No change
224,Delete Class ,Error : AveragedProjectDiscovery Line : 47,The metaclass AveragedProjectDiscovery is deleted and the class AveragedProjectDiscovery is deleted also (assuming that when the metaclass is deleted all the generated elements are deleted )Coevolve this code : import org.eclipse.modisco.infra.discovery.benchmark.AveragedMultiDiscoveryBenchmark  import org.eclipse.modisco.infra.discovery.benchmark.AveragedProjectDiscovery  import org.eclipse.modisco.infra.discovery.benchmark.BenchmarkFactory  If there is any instruction to delete please comment it with significant message,import org.eclipse.modisco.infra.discovery.benchmark.AveragedMultiDiscoveryBenchmarkimport org.eclipse.modisco.infra.discovery.benchmark.BenchmarkFactory// The import statement for AveragedProjectDiscovery is deletedpublic class AveragedProjectDiscovery {    // Class AveragedProjectDiscovery is deleted}// The metaclass AveragedProjectDiscovery is deleted// No further changes are required.
234,Delete Class ,Error : ProjectDiscovery Line : 50,The metaclass ProjectDiscovery is deleted and the class ProjectDiscovery is deleted also (assuming that when the metaclass is deleted all the generated elements are deleted )Coevolve this code : import org.eclipse.modisco.infra.discovery.benchmark.Discovery  import org.eclipse.modisco.infra.discovery.benchmark.ProjectDiscovery  import org.eclipse.modisco.infra.discovery.core.AbstractModelDiscoverer  If there is any instruction to delete please comment it with significant message,import org.eclipse.modisco.infra.discovery.benchmark.Discoveryimport org.eclipse.modisco.infra.discovery.core.AbstractModelDiscoverer// The metaclass ProjectDiscovery is deleted so we remove the import statement for itimport org.eclipse.modisco.infra.discovery.benchmark.ProjectDiscovery// The class ProjectDiscovery is deleted so we remove the import statement for it// No instructions to delete any code so no changes needed in the code provided.
244,Delete Class ,Error : AveragedMultiDiscoveryBenchmark Line : 122,The metaclass AveragedMultiDiscoveryBenchmark is deleted The class AveragedMultiDiscoveryBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : AveragedMultiDiscoveryBenchmark benchmark=benchmarkJavaProjectsDiscovery(monitorjavaProjectsthis.numberOfIterations)  If there is any instruction to delete please comment it with significant message, Cannot get a response because of an exception
254,Delete Class ,Error : AveragedMultiDiscoveryBenchmark Line : 128,The metaclass AveragedMultiDiscoveryBenchmark is deleted The class AveragedMultiDiscoveryBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : public static AveragedMultiDiscoveryBenchmark benchmarkJavaProjectsDiscovery(final IProgressMonitor monitorfinal List<IJavaProject> javaProjectsfinal int nIterations) throws DiscoveryException If there is any instruction to delete please comment it with significant message,public static AveragedMultiDiscoveryBenchmark benchmarkJavaProjectsDiscovery(final IProgressMonitor monitor final List<IJavaProject> javaProjects final int nIterations) throws DiscoveryException {    AveragedMultiDiscoveryBenchmark benchmark = new AveragedMultiDiscoveryBenchmark()    benchmark.setMonitor(monitor)    benchmark.setJavaProjects(javaProjects)    benchmark.setNIterations(nIterations)    benchmark.run()    return benchmark}
264,Delete Class ,Error : AveragedMultiDiscoveryBenchmark Line : 131,The metaclass AveragedMultiDiscoveryBenchmark is deleted The class AveragedMultiDiscoveryBenchmark is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : AveragedMultiDiscoveryBenchmark benchmark=BenchmarkFactory.eINSTANCE.createAveragedMultiDiscoveryBenchmark()  If there is any instruction to delete please comment it with significant message,AveragedMultiDiscoveryBenchmark benchmark=BenchmarkFactory.eINSTANCE.createAveragedMultiDiscoveryBenchmark() 
274,Delete Class ,Error : createAveragedMultiDiscoveryBenchmark Line : 132,The metaclass AveragedMultiDiscoveryBenchmark is deleted   the method createAveragedMultiDiscoveryBenchmark is generated and its usage must be deleted Coevolve this code : AveragedMultiDiscoveryBenchmark benchmark=BenchmarkFactory.eINSTANCE.createAveragedMultiDiscoveryBenchmark()  If there is any instruction to delete please comment it with significant message,// The metaclass AveragedMultiDiscoveryBenchmark is deleted// Coevolved code:// AveragedMultiDiscoveryBenchmark benchmark = BenchmarkFactory.eINSTANCE.createAveragedMultiDiscoveryBenchmark()// The above line of code should be deleted as the metaclass AveragedMultiDiscoveryBenchmark is deleted.
284,Delete Class ,Error : AveragedProjectDiscovery Line : 157,The metaclass AveragedProjectDiscovery is deleted The class AveragedProjectDiscovery is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : AveragedProjectDiscovery averagedProjectDiscovery=BenchmarkFactory.eINSTANCE.createAveragedProjectDiscovery()  If there is any instruction to delete please comment it with significant message,AveragedProjectDiscovery averagedProjectDiscovery=BenchmarkFactory.eINSTANCE.createAveragedProjectDiscovery()// No instructions to delete
294,Delete Class ,Error : createAveragedProjectDiscovery Line : 158,The metaclass AveragedProjectDiscovery is deleted   the method createAveragedProjectDiscovery is generated and its usage must be deleted Coevolve this code : AveragedProjectDiscovery averagedProjectDiscovery=BenchmarkFactory.eINSTANCE.createAveragedProjectDiscovery()  If there is any instruction to delete please comment it with significant message,The metaclass AveragedProjectDiscovery is deleted so the method createAveragedProjectDiscovery and its usage must be deleted as well. Coevolved code:// AveragedProjectDiscovery averagedProjectDiscovery=BenchmarkFactory.eINSTANCE.createAveragedProjectDiscovery()// The above line of code is deleted as the metaclass AveragedProjectDiscovery is no longer available.
304,Delete Class ,Error : ProjectDiscovery Line : 162,The metaclass ProjectDiscovery is deleted The class ProjectDiscovery is generated and it is deleted (assuming that when the metaclass is deleted all the generated elements are deleted)Coevolve this code : ProjectDiscovery projectDiscovery=BenchmarkFactory.eINSTANCE.createProjectDiscovery()  If there is any instruction to delete please comment it with significant message,// Create an instance of the ProjectDiscovery classProjectDiscovery projectDiscovery = BenchmarkFactory.eINSTANCE.createProjectDiscovery()// No instructions to delete so no comments needed
